2026-01-29 14:02:00,505 | INFO | Stock alert service started
2026-01-29 14:02:00,506 | INFO | Market is open — starting monitoring
2026-01-29 14:02:00,506 | INFO | Checking stock prices...
2026-01-29 14:02:11,675 | INFO | Checking Completed. Sleeping...
2026-01-29 14:03:11,676 | INFO | Checking stock prices...
2026-01-29 14:03:19,811 | INFO | Checking Completed. Sleeping...
2026-01-29 14:04:19,812 | INFO | Checking stock prices...
2026-01-29 14:04:25,934 | ERROR | Row error : Unsupported exchange: 
2026-01-29 14:04:26,568 | INFO | Checking Completed. Sleeping...
2026-01-29 14:05:26,569 | INFO | Checking stock prices...
2026-01-29 14:05:32,482 | INFO | Checking Completed. Sleeping...
2026-01-29 14:06:32,483 | INFO | Checking stock prices...
2026-01-29 14:06:39,510 | ERROR | Row error Shadowdax Tech.: Unsupported exchange: 
2026-01-29 14:06:40,052 | INFO | Checking Completed. Sleeping...
2026-01-29 14:07:40,052 | INFO | Checking stock prices...
2026-01-29 14:07:46,988 | ERROR | Row error Shadowdax Tech.: could not convert string to float: ''
2026-01-29 14:07:47,528 | INFO | Checking Completed. Sleeping...
2026-01-29 14:08:47,529 | INFO | Checking stock prices...
2026-01-29 14:08:53,977 | INFO | Checking Completed. Sleeping...
2026-01-29 14:09:53,978 | INFO | Checking stock prices...
2026-01-29 14:10:00,003 | INFO | Checking Completed. Sleeping...
2026-01-29 14:11:00,004 | INFO | Checking stock prices...
2026-01-29 14:11:07,144 | INFO | Checking Completed. Sleeping...
2026-01-29 14:12:07,145 | INFO | Checking stock prices...
2026-01-29 14:12:13,699 | INFO | Checking Completed. Sleeping...
2026-01-29 14:13:13,700 | INFO | Checking stock prices...
2026-01-29 14:13:20,148 | INFO | Checking Completed. Sleeping...
2026-01-29 14:14:20,149 | INFO | Checking stock prices...
2026-01-29 14:14:26,626 | INFO | Checking Completed. Sleeping...
2026-01-29 14:15:26,627 | INFO | Checking stock prices...
2026-01-29 14:15:32,931 | INFO | Checking Completed. Sleeping...
2026-01-29 14:16:32,932 | INFO | Checking stock prices...
2026-01-29 14:16:41,809 | INFO | Checking Completed. Sleeping...
2026-01-29 14:17:41,809 | INFO | Checking stock prices...
2026-01-29 14:18:06,095 | INFO | Checking Completed. Sleeping...
2026-01-29 14:19:06,096 | INFO | Checking stock prices...
2026-01-29 14:19:12,637 | INFO | Checking Completed. Sleeping...
2026-01-29 14:20:12,638 | INFO | Checking stock prices...
2026-01-29 14:20:18,699 | INFO | Checking Completed. Sleeping...
2026-01-29 14:21:18,700 | INFO | Checking stock prices...
2026-01-29 14:21:25,200 | INFO | Checking Completed. Sleeping...
2026-01-29 14:22:25,201 | INFO | Checking stock prices...
2026-01-29 14:22:32,054 | INFO | Checking Completed. Sleeping...
2026-01-29 14:23:32,054 | INFO | Checking stock prices...
2026-01-29 14:23:39,450 | INFO | Checking Completed. Sleeping...
2026-01-29 14:24:39,452 | INFO | Checking stock prices...
2026-01-29 14:24:46,110 | INFO | Checking Completed. Sleeping...
2026-01-29 14:25:46,110 | INFO | Checking stock prices...
2026-01-29 14:25:52,603 | INFO | Checking Completed. Sleeping...
2026-01-29 14:26:52,604 | INFO | Checking stock prices...
2026-01-29 14:26:59,177 | INFO | Checking Completed. Sleeping...
2026-01-29 14:27:59,178 | INFO | Checking stock prices...
2026-01-29 14:28:09,205 | INFO | Checking Completed. Sleeping...
2026-01-29 14:29:09,206 | INFO | Checking stock prices...
2026-01-29 14:29:23,331 | INFO | Checking Completed. Sleeping...
2026-01-29 14:30:23,332 | INFO | Checking stock prices...
2026-01-29 14:30:29,592 | INFO | Checking Completed. Sleeping...
2026-01-29 14:31:29,592 | INFO | Checking stock prices...
2026-01-29 14:31:36,024 | INFO | Checking Completed. Sleeping...
2026-01-29 14:32:36,025 | INFO | Checking stock prices...
2026-01-29 14:32:42,128 | INFO | Checking Completed. Sleeping...
2026-01-29 14:33:42,128 | INFO | Checking stock prices...
2026-01-29 14:33:49,076 | INFO | Checking Completed. Sleeping...
2026-01-29 14:34:49,077 | INFO | Checking stock prices...
2026-01-29 14:34:55,031 | INFO | Checking Completed. Sleeping...
2026-01-29 14:35:55,032 | INFO | Checking stock prices...
2026-01-29 14:36:14,101 | INFO | Checking Completed. Sleeping...
2026-01-29 14:37:14,102 | INFO | Checking stock prices...
2026-01-29 14:37:21,028 | INFO | Checking Completed. Sleeping...
2026-01-29 14:38:21,029 | INFO | Checking stock prices...
2026-01-29 14:38:27,223 | INFO | Checking Completed. Sleeping...
2026-01-29 14:39:27,223 | INFO | Checking stock prices...
2026-01-29 14:39:33,683 | INFO | Checking Completed. Sleeping...
2026-01-29 14:40:33,684 | INFO | Checking stock prices...
2026-01-29 14:40:40,646 | INFO | Checking Completed. Sleeping...
2026-01-29 14:41:40,646 | INFO | Checking stock prices...
2026-01-29 14:41:47,005 | INFO | Checking Completed. Sleeping...
2026-01-29 14:42:47,005 | INFO | Checking stock prices...
2026-01-29 14:42:59,209 | INFO | Checking Completed. Sleeping...
2026-01-29 14:43:59,210 | INFO | Checking stock prices...
2026-01-29 14:44:05,208 | INFO | Checking Completed. Sleeping...
2026-01-29 14:45:05,209 | INFO | Checking stock prices...
2026-01-29 14:45:11,418 | INFO | Checking Completed. Sleeping...
2026-01-29 14:46:11,419 | INFO | Checking stock prices...
2026-01-29 14:46:18,006 | INFO | Checking Completed. Sleeping...
2026-01-29 14:47:18,007 | INFO | Checking stock prices...
2026-01-29 14:47:24,094 | INFO | Checking Completed. Sleeping...
2026-01-29 14:48:24,095 | INFO | Checking stock prices...
2026-01-29 14:48:30,121 | INFO | Checking Completed. Sleeping...
2026-01-29 14:49:30,121 | INFO | Checking stock prices...
2026-01-29 14:49:43,625 | INFO | Checking Completed. Sleeping...
2026-01-29 14:50:43,625 | INFO | Checking stock prices...
2026-01-29 14:50:49,532 | INFO | Checking Completed. Sleeping...
2026-01-29 14:51:49,532 | INFO | Checking stock prices...
2026-01-29 14:51:55,672 | INFO | Checking Completed. Sleeping...
2026-01-29 14:52:55,673 | INFO | Checking stock prices...
2026-01-29 14:53:01,388 | INFO | Checking Completed. Sleeping...
2026-01-29 14:54:01,389 | INFO | Checking stock prices...
2026-01-29 14:54:07,474 | INFO | Checking Completed. Sleeping...
2026-01-29 14:55:07,475 | INFO | Checking stock prices...
2026-01-29 14:55:13,605 | INFO | Checking Completed. Sleeping...
2026-01-29 14:56:13,606 | INFO | Checking stock prices...
