2026-01-20 11:01:46,975 | INFO | Stock alert service started
2026-01-20 11:01:46,975 | INFO | Market is open — starting monitoring
2026-01-20 11:01:46,975 | INFO | Checking stock prices...
2026-01-20 11:01:54,845 | INFO | Checking Completed. Sleeping...
2026-01-20 11:04:56,274 | INFO | Checking stock prices...
2026-01-20 11:05:02,434 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:05:03,014 | INFO | Checking Completed. Sleeping...
2026-01-20 11:08:03,016 | INFO | Checking stock prices...
2026-01-20 11:08:08,041 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:08:08,573 | INFO | Checking Completed. Sleeping...
2026-01-20 11:11:08,578 | INFO | Checking stock prices...
2026-01-20 11:11:13,744 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:11:14,498 | INFO | Checking Completed. Sleeping...
2026-01-20 11:14:14,499 | INFO | Checking stock prices...
2026-01-20 11:14:20,056 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:14:20,620 | INFO | Checking Completed. Sleeping...
2026-01-20 11:17:20,621 | INFO | Checking stock prices...
2026-01-20 11:17:25,850 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:17:26,372 | INFO | Checking Completed. Sleeping...
2026-01-20 11:20:26,373 | INFO | Checking stock prices...
2026-01-20 11:20:31,649 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:20:32,213 | INFO | Checking Completed. Sleeping...
2026-01-20 11:23:32,217 | INFO | Checking stock prices...
2026-01-20 11:23:37,847 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:23:38,410 | INFO | Checking Completed. Sleeping...
2026-01-20 11:26:38,416 | INFO | Checking stock prices...
2026-01-20 11:26:43,689 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:26:44,192 | INFO | Checking Completed. Sleeping...
2026-01-20 11:28:32,120 | INFO | Stock alert service started
2026-01-20 11:28:32,120 | INFO | Market is open — starting monitoring
2026-01-20 11:28:32,120 | INFO | Checking stock prices...
2026-01-20 11:28:37,790 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:28:38,375 | INFO | Checking Completed. Sleeping...
2026-01-20 11:30:33,832 | INFO | Stock alert service started
2026-01-20 11:30:33,832 | INFO | Market is open — starting monitoring
2026-01-20 11:30:33,832 | INFO | Checking stock prices...
2026-01-20 11:30:39,647 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:30:39,647 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:30:39,647 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:30:39,647 | ERROR | Row error : Unsupported exchange: 
2026-01-20 11:30:40,165 | INFO | Checking Completed. Sleeping...
2026-01-20 11:31:16,551 | INFO | Stock alert service started
2026-01-20 11:31:16,551 | INFO | Market is open — starting monitoring
2026-01-20 11:31:16,551 | INFO | Checking stock prices...
2026-01-20 11:31:22,697 | INFO | Checking Completed. Sleeping...
2026-01-20 11:34:18,858 | INFO | Stock alert service started
2026-01-20 11:34:18,858 | INFO | Market is open — starting monitoring
2026-01-20 11:34:18,858 | INFO | Checking stock prices...
2026-01-20 11:34:22,382 | WARNING | [TMCV.NS] Price fetch failed (attempt 1): 'NoneType' object is not subscriptable
2026-01-20 11:34:27,889 | INFO | Checking Completed. Sleeping...
2026-01-20 11:34:37,460 | INFO | Stock alert service started
2026-01-20 11:34:37,460 | INFO | Market is open — starting monitoring
2026-01-20 11:34:37,460 | INFO | Checking stock prices...
2026-01-20 11:34:44,203 | INFO | Checking Completed. Sleeping...
2026-01-20 11:35:44,204 | INFO | Checking stock prices...
2026-01-20 11:35:50,448 | INFO | Checking Completed. Sleeping...
2026-01-20 11:36:50,449 | INFO | Checking stock prices...
2026-01-20 11:36:56,415 | INFO | Checking Completed. Sleeping...
2026-01-20 11:37:56,417 | INFO | Checking stock prices...
2026-01-20 11:38:02,914 | INFO | Checking Completed. Sleeping...
2026-01-20 11:39:02,915 | INFO | Checking stock prices...
2026-01-20 11:39:08,914 | INFO | Checking Completed. Sleeping...
2026-01-20 11:40:08,922 | INFO | Checking stock prices...
2026-01-20 11:40:15,205 | INFO | Checking Completed. Sleeping...
2026-01-20 11:41:15,211 | INFO | Checking stock prices...
2026-01-20 11:41:21,312 | INFO | Checking Completed. Sleeping...
2026-01-20 11:42:21,320 | INFO | Checking stock prices...
2026-01-20 11:42:27,221 | INFO | Checking Completed. Sleeping...
2026-01-20 11:43:27,225 | INFO | Checking stock prices...
2026-01-20 11:43:32,730 | INFO | Checking Completed. Sleeping...
2026-01-20 11:44:32,737 | INFO | Checking stock prices...
2026-01-20 11:44:39,122 | INFO | Checking Completed. Sleeping...
2026-01-20 11:45:39,124 | INFO | Checking stock prices...
2026-01-20 11:45:45,565 | INFO | Checking Completed. Sleeping...
2026-01-20 11:46:45,581 | INFO | Checking stock prices...
2026-01-20 11:46:52,248 | INFO | Checking Completed. Sleeping...
2026-01-20 11:47:52,258 | INFO | Checking stock prices...
2026-01-20 11:47:59,192 | INFO | Checking Completed. Sleeping...
2026-01-20 11:48:59,196 | INFO | Checking stock prices...
2026-01-20 11:49:05,643 | INFO | Checking Completed. Sleeping...
2026-01-20 11:50:05,645 | INFO | Checking stock prices...
2026-01-20 11:50:12,392 | INFO | Checking Completed. Sleeping...
2026-01-20 11:51:12,400 | INFO | Checking stock prices...
2026-01-20 11:51:19,311 | INFO | Checking Completed. Sleeping...
2026-01-20 11:52:19,318 | INFO | Checking stock prices...
2026-01-20 11:52:25,168 | INFO | Checking Completed. Sleeping...
2026-01-20 11:53:25,170 | INFO | Checking stock prices...
2026-01-20 11:53:32,220 | INFO | Checking Completed. Sleeping...
2026-01-20 11:54:32,234 | INFO | Checking stock prices...
2026-01-20 11:54:38,309 | INFO | Checking Completed. Sleeping...
2026-01-20 11:55:38,312 | INFO | Checking stock prices...
2026-01-20 11:55:45,524 | INFO | Checking Completed. Sleeping...
2026-01-20 11:56:45,527 | INFO | Checking stock prices...
2026-01-20 11:56:52,178 | INFO | Checking Completed. Sleeping...
2026-01-20 11:57:52,183 | INFO | Checking stock prices...
2026-01-20 11:57:58,209 | INFO | Checking Completed. Sleeping...
2026-01-20 11:58:58,211 | INFO | Checking stock prices...
2026-01-20 11:59:04,198 | INFO | Checking Completed. Sleeping...
2026-01-20 12:00:04,199 | INFO | Checking stock prices...
2026-01-20 12:00:10,179 | INFO | Checking Completed. Sleeping...
2026-01-20 12:01:10,180 | INFO | Checking stock prices...
2026-01-20 12:01:15,799 | INFO | Checking Completed. Sleeping...
2026-01-20 12:02:15,808 | INFO | Checking stock prices...
2026-01-20 12:02:22,190 | INFO | Checking Completed. Sleeping...
2026-01-20 12:03:22,207 | INFO | Checking stock prices...
2026-01-20 12:03:27,864 | INFO | Checking Completed. Sleeping...
2026-01-20 12:04:27,877 | INFO | Checking stock prices...
2026-01-20 12:04:34,191 | INFO | Checking Completed. Sleeping...
2026-01-20 12:05:34,195 | INFO | Checking stock prices...
2026-01-20 12:05:39,811 | INFO | Checking Completed. Sleeping...
2026-01-20 12:06:39,822 | INFO | Checking stock prices...
2026-01-20 12:06:46,506 | INFO | Checking Completed. Sleeping...
2026-01-20 12:07:46,516 | INFO | Checking stock prices...
2026-01-20 12:07:52,562 | INFO | Checking Completed. Sleeping...
2026-01-20 12:08:52,564 | INFO | Checking stock prices...
2026-01-20 12:08:58,760 | INFO | Checking Completed. Sleeping...
2026-01-20 12:09:58,776 | INFO | Checking stock prices...
2026-01-20 12:10:05,236 | INFO | Checking Completed. Sleeping...
2026-01-20 12:11:05,237 | INFO | Checking stock prices...
2026-01-20 12:11:11,058 | INFO | Checking Completed. Sleeping...
2026-01-20 12:12:11,067 | INFO | Checking stock prices...
2026-01-20 12:12:17,052 | INFO | Checking Completed. Sleeping...
2026-01-20 12:13:17,054 | INFO | Checking stock prices...
2026-01-20 12:13:23,134 | INFO | Checking Completed. Sleeping...
2026-01-20 12:14:23,142 | INFO | Checking stock prices...
2026-01-20 12:14:28,798 | INFO | Checking Completed. Sleeping...
2026-01-20 12:15:28,808 | INFO | Checking stock prices...
2026-01-20 12:15:34,719 | INFO | Checking Completed. Sleeping...
2026-01-20 12:16:34,735 | INFO | Checking stock prices...
2026-01-20 12:16:40,405 | INFO | Checking Completed. Sleeping...
2026-01-20 12:17:40,408 | INFO | Checking stock prices...
2026-01-20 12:17:46,546 | INFO | Checking Completed. Sleeping...
2026-01-20 12:18:46,547 | INFO | Checking stock prices...
2026-01-20 12:18:52,971 | INFO | Checking Completed. Sleeping...
2026-01-20 12:19:52,975 | INFO | Checking stock prices...
2026-01-20 12:19:58,728 | INFO | Checking Completed. Sleeping...
2026-01-20 12:20:58,731 | INFO | Checking stock prices...
2026-01-20 12:21:05,138 | INFO | Checking Completed. Sleeping...
2026-01-20 12:22:05,144 | INFO | Checking stock prices...
2026-01-20 12:22:11,145 | INFO | Checking Completed. Sleeping...
2026-01-20 12:23:11,147 | INFO | Checking stock prices...
2026-01-20 12:23:17,708 | INFO | Checking Completed. Sleeping...
2026-01-20 12:24:17,710 | INFO | Checking stock prices...
2026-01-20 12:24:23,986 | INFO | Checking Completed. Sleeping...
2026-01-20 12:25:23,986 | INFO | Checking stock prices...
2026-01-20 12:25:30,571 | INFO | Checking Completed. Sleeping...
2026-01-20 12:26:30,572 | INFO | Checking stock prices...
2026-01-20 12:26:36,364 | INFO | Checking Completed. Sleeping...
2026-01-20 12:27:36,366 | INFO | Checking stock prices...
2026-01-20 12:27:41,704 | INFO | Checking Completed. Sleeping...
2026-01-20 12:28:41,705 | INFO | Checking stock prices...
2026-01-20 12:28:47,622 | INFO | Checking Completed. Sleeping...
2026-01-20 12:29:47,623 | INFO | Checking stock prices...
2026-01-20 12:29:53,715 | INFO | Checking Completed. Sleeping...
2026-01-20 12:30:53,715 | INFO | Checking stock prices...
2026-01-20 12:30:59,341 | INFO | Checking Completed. Sleeping...
2026-01-20 12:31:59,342 | INFO | Checking stock prices...
2026-01-20 12:32:13,948 | INFO | Checking Completed. Sleeping...
2026-01-20 12:33:13,949 | INFO | Checking stock prices...
2026-01-20 12:33:20,469 | INFO | Checking Completed. Sleeping...
2026-01-20 12:34:20,470 | INFO | Checking stock prices...
2026-01-20 12:34:26,749 | INFO | Checking Completed. Sleeping...
2026-01-20 12:35:26,751 | INFO | Checking stock prices...
2026-01-20 12:35:32,951 | INFO | Checking Completed. Sleeping...
2026-01-20 12:36:32,956 | INFO | Checking stock prices...
2026-01-20 12:36:39,417 | INFO | Checking Completed. Sleeping...
2026-01-20 12:37:39,419 | INFO | Checking stock prices...
2026-01-20 12:37:46,517 | INFO | Checking Completed. Sleeping...
2026-01-20 12:38:46,519 | INFO | Checking stock prices...
2026-01-20 12:38:52,398 | INFO | Checking Completed. Sleeping...
2026-01-20 12:39:52,400 | INFO | Checking stock prices...
2026-01-20 12:39:59,028 | INFO | Checking Completed. Sleeping...
2026-01-20 12:40:59,029 | INFO | Checking stock prices...
2026-01-20 12:41:06,682 | INFO | Checking Completed. Sleeping...
2026-01-20 12:42:06,683 | INFO | Checking stock prices...
2026-01-20 12:42:12,784 | INFO | Checking Completed. Sleeping...
2026-01-20 12:43:12,785 | INFO | Checking stock prices...
2026-01-20 12:43:18,876 | INFO | Checking Completed. Sleeping...
2026-01-20 12:44:18,878 | INFO | Checking stock prices...
2026-01-20 12:44:24,449 | INFO | Checking Completed. Sleeping...
2026-01-20 12:45:24,450 | INFO | Checking stock prices...
2026-01-20 12:45:30,209 | INFO | Checking Completed. Sleeping...
2026-01-20 12:46:30,210 | INFO | Checking stock prices...
2026-01-20 12:46:36,227 | INFO | Checking Completed. Sleeping...
2026-01-20 12:47:36,229 | INFO | Checking stock prices...
2026-01-20 12:47:42,000 | INFO | Checking Completed. Sleeping...
2026-01-20 12:48:42,001 | INFO | Checking stock prices...
2026-01-20 12:48:47,883 | INFO | Checking Completed. Sleeping...
2026-01-20 12:49:47,884 | INFO | Checking stock prices...
2026-01-20 12:49:53,572 | INFO | Checking Completed. Sleeping...
2026-01-20 12:50:53,573 | INFO | Checking stock prices...
2026-01-20 12:50:59,742 | INFO | Checking Completed. Sleeping...
2026-01-20 12:51:59,743 | INFO | Checking stock prices...
2026-01-20 12:52:05,683 | INFO | Checking Completed. Sleeping...
2026-01-20 12:53:05,685 | INFO | Checking stock prices...
2026-01-20 12:53:11,064 | INFO | Checking Completed. Sleeping...
2026-01-20 12:54:11,065 | INFO | Checking stock prices...
2026-01-20 12:54:16,908 | INFO | Checking Completed. Sleeping...
2026-01-20 12:55:16,909 | INFO | Checking stock prices...
2026-01-20 12:55:22,930 | INFO | Checking Completed. Sleeping...
2026-01-20 12:56:22,931 | INFO | Checking stock prices...
2026-01-20 12:56:29,029 | INFO | Checking Completed. Sleeping...
2026-01-20 12:57:29,030 | INFO | Checking stock prices...
2026-01-20 12:57:35,186 | INFO | Checking Completed. Sleeping...
2026-01-20 12:58:35,188 | INFO | Checking stock prices...
2026-01-20 12:58:40,962 | INFO | Checking Completed. Sleeping...
2026-01-20 12:59:40,969 | INFO | Checking stock prices...
2026-01-20 12:59:47,724 | INFO | Checking Completed. Sleeping...
2026-01-20 13:00:47,725 | INFO | Checking stock prices...
